YEAR,MONTH,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
2006,7,0.004,-0.0078,0.006,0.0107,0.0095,0.0033,0.0067,0.0161,0.0261,-0.0058
2006,8,0.0042,0.0203,0.0236,0.0218,0.0111,0.0034,0.0121,-0.0768,0.03,0.0059
2006,9,0.0041,0.0184,-0.0024,0.0043,0.0047,-0.009,0.0087,-0.1112,0.0157,-0.0023
2006,10,0.0041,0.0323,0.0349,0.0435,0.0025,0.0071,0.0106,-0.0298,0.0591,0.0136
2006,11,0.0042,0.0171,0.026,0.0703,0.0074,0.0271,0.0116,0.0511,0.0404,0.0165
2006,12,0.004,0.0087,0.0275,0.0411,-0.0098,-0.0227,0.0065,-0.0752,-0.0162,0.0108
2007,1,0.0044,0.014,0.0024,-0.0145,-0.0048,-0.0209,0.0065,-0.0273,0.0739,0.0066
2007,2,0.0038,-0.0196,0.0044,-0.0096,0.0116,0.02,0.0101,0.0392,-0.033,0.003
2007,3,0.0043,0.0068,0.0217,0.0358,-0.0043,-0.0006,-0.0023,0.028,-0.0293,0.0053
2007,4,0.0044,0.0349,0.041,0.0432,0.001,0.0073,0.009,-0.0072,-0.0033,0.0133
2007,5,0.0041,0.0324,0.0147,0.0447,-0.0117,-0.0257,0.0029,-0.0196,-0.0031,0.0158
2007,6,0.004,-0.0196,-0.0025,0.0433,-0.007,-0.0111,-0.0211,0.0282,-0.0944,0.0033
2007,7,0.004,-0.0373,-0.0186,0.0493,0.0043,0.0274,-0.035,0.0515,-0.0919,-0.0032
2007,8,0.0042,0.0092,-0.0196,-0.0251,0.0081,0.0109,0.0068,-0.0461,0.0508,-0.0195
2007,9,0.0032,0.0322,0.0505,0.1073,0.0044,0.0255,0.0208,0.0991,0.0392,0.0237
2007,10,0.0032,0.018,0.0362,0.1084,0.0058,0.0152,0.0033,0.0929,0.005,0.0253
2007,11,0.0034,-0.0483,-0.036,-0.0742,0.0146,0.0214,-0.0237,-0.0404,-0.0896,-0.0254
2007,12,0.0027,-0.0087,-0.0252,0.0009,1E-04,-0.0092,0.0003,0.055,-0.0469,0.0026
2008,1,0.0021,-0.0636,-0.0944,-0.1266,0.0147,0.0365,-0.0155,-0.0024,-0.0051,-0.029
2008,2,0.0013,-0.0309,0.0133,0.0729,0.0001,0.0255,-0.0129,0.1113,-0.0398,0.0137
2008,3,0.0017,-0.0093,-0.0117,-0.0545,0.0017,0.0331,-0.0068,-0.0134,0.0371,-0.0241
2008,4,0.0018,0.046,0.0538,0.0795,-0.0039,-0.0361,0.0397,0.0778,0.0592,0.0145
